Metadata_data_name	Metadata_Predicted_Class	Metadata_Phenotypic_Value	UMAP0	UMAP1
mitocheck	Large	1.0	1.3900446	2.1738074
mitocheck	Large	1.0	3.2151527	5.7980676
mitocheck	Large	1.0	1.229292	2.3641796
mitocheck	Large	1.0	2.1689715	5.326326
mitocheck	Large	1.0	2.0964806	5.1314406
mitocheck	Large	1.0	3.3114944	5.8887124
mitocheck	Large	1.0	-1.3761653	-0.6243383
mitocheck	Large	1.0	2.1521525	5.396797
mitocheck	Large	1.0	3.2322981	5.810146
mitocheck	Large	1.0	2.3945644	5.404921
mitocheck	Large	1.0	1.4844946	3.7613537
mitocheck	Large	1.0	2.342843	5.2842364
mitocheck	Large	1.0	3.2490764	5.828574
mitocheck	Large	1.0	3.4570448	6.042561
mitocheck	Large	1.0	3.4109323	5.9995146
mitocheck	Large	1.0	3.249104	5.8252807
mitocheck	Large	1.0	3.365057	5.907643
mitocheck	Large	1.0	3.2774947	5.8560133
mitocheck	Large	1.0	3.2488885	5.798919
mitocheck	Large	1.0	3.3581774	5.92597
mitocheck	Large	1.0	1.9164178	2.4224682
mitocheck	Large	1.0	2.097297	5.305159
mitocheck	Large	1.0	1.6108673	2.5155463
mitocheck	Large	1.0	1.8321304	5.2370987
mitocheck	Large	1.0	1.5253772	5.064746
mitocheck	Large	1.0	3.4450421	6.0253525
mitocheck	Large	1.0	2.1761155	5.450455
mitocheck	Large	1.0	3.2289133	5.824066
mitocheck	Large	1.0	1.9066548	5.46928
mitocheck	Large	1.0	1.8324769	5.468643
mitocheck	Large	1.0	1.9178355	5.580263
mitocheck	Large	1.0	3.2657251	5.859031
mitocheck	Large	1.0	3.2782743	5.863446
mitocheck	Large	1.0	3.320056	5.8932805
mitocheck	Large	1.0	3.303919	5.8998995
mitocheck	Large	1.0	3.334321	5.9016323
mitocheck	Large	1.0	2.2642615	5.37705
mitocheck	Large	1.0	3.2305787	5.8158913
mitocheck	Large	1.0	3.2651253	5.841581
mitocheck	Large	1.0	3.3406456	5.925676
mitocheck	Large	1.0	3.4154794	5.9761443
mitocheck	Large	1.0	3.2923977	5.8713484
mitocheck	Large	1.0	2.1517227	5.3109055
mitocheck	Large	1.0	2.0104265	1.2272598
mitocheck	Large	1.0	3.1885092	5.7237206
mitocheck	Large	1.0	3.3165865	5.895027
mitocheck	Large	1.0	3.2409422	5.818563
mitocheck	Large	1.0	3.2791145	5.833695
mitocheck	Large	1.0	4.3965073	6.7082872
mitocheck	Large	1.0	3.3585558	5.928906
mitocheck	Large	1.0	3.344502	5.92092
mitocheck	Large	1.0	3.3808157	5.9519567
mitocheck	Large	1.0	3.3709261	5.9472704
mitocheck	Large	1.0	3.3600652	5.931675
mitocheck	Large	1.0	3.3631978	5.9306192
mitocheck	Large	1.0	3.3052282	5.8824778
mitocheck	Large	1.0	3.3148777	5.879058
mitocheck	Large	1.0	3.355653	5.9273157
mitocheck	Large	1.0	3.356686	5.932062
mitocheck	Large	1.0	3.4354115	6.020075
mitocheck	Large	1.0	3.3481205	5.9216123
mitocheck	Large	1.0	3.3219366	5.9053373
mitocheck	Large	1.0	3.3698082	5.9620767
mitocheck	Large	1.0	3.3633347	5.937962
mitocheck	Large	1.0	4.3948035	6.713767
mitocheck	Large	1.0	3.3749714	5.952455
mitocheck	Large	1.0	3.446376	5.9912252
mitocheck	Large	1.0	3.4296699	6.011009
mitocheck	Large	1.0	3.3464167	5.9260945
mitocheck	Large	1.0	3.3686213	5.942942
mitocheck	Large	1.0	3.4620447	6.028225
mitocheck	Large	1.0	3.515053	6.0622716
mitocheck	Large	1.0	3.3650887	5.9438157
mitocheck	Large	1.0	1.7577351	1.6593344
mitocheck	Large	1.0	3.1581173	5.7474437
mitocheck	Large	1.0	3.1109312	5.5147686
